100 10000
100 616 7569 3011 8838 1237 9722 2365 6355 7209 8797 6642 2225 6966 765 9622 7368 8537 9559 3859 8568 1572 372 1493 4772 7871 3972 5221 7750 6749 3110 7350 279 881 9780 1591 2322 6917 5338 9351 2332 350 3316 1425 6147 3759 2650 4175 5200 995 8084 5187 1499 1035 5620 1332 3538 4101 9299 8472 9724 3457 1191 4969 4653 2600 4109 386 5068 8242 137 7666 4409 4252 6404 7339 4584 6493 9226 1111 6139 855 5652 2604 3162 1567 8440 5479 3062 5055 6322 7084 259 9003 8333 2754 5408 3953 7769 1964 1907
100 470 9250 569 8772 6202 7331 4813 1208 9626 4325 908 7445 8304 8522 8835 2396 1182 6396 7271 9427 2179 4087 6448 466 3986 9730 2096 2384 6993 1724 4573 1482 1958 8111 8814 9162 9114 4967 8683 2566 8919 1019 6790 789 8186 6066 6440 663 5230 2255 1557 2478 48 4282 9759 2550 2088 4328 8121 4810 7390 5075 8334 9516 3238 4715 3019 464 5417 6905 8325 9260 253 5627 4486 753 5281 6491 2311 6229 7882 5147 6862 671 9664 2054 8844 338 3354 3914 333 1838 8311 7704 491 7540 9044 4119 6690 4637
100 3075 4616 769 3107 3563 9213 1238 2369 6081 6773 3568 6180 8972 8396 6173 7881 5280 181 8187 2217 8582 7813 5195 687 6853 1609 566 6052 5030 2485 3017 737 1321 1448 1033 1519 1921 8159 6743 9537 6186 9849 1473 8468 8214 5924 9827 1867 3603 1081 2063 9447 6689 5475 5806 7122 7590 2147 242 6511 1416 344 512 5567 7581 2677 8462 2855 4257 3801 194 7781 3905 4532 654 7841 6029 7486 8966 1512 1248 2285 7070 4323 4557 5832 8226 4633 4808 914 6112 8220 5981 1429 7564 9059 2904 861 5010 3319
100 9612 4350 8406 2715 5578 58 1711 8222 3218 4764 6498 8901 6384 2274 4280 9057 7836 9723 1328 7702 504 1345 6320 1196 6517 4312 1344 5681 5201 359 1795 6960 9187 930 1130 9772 7287 8076 4602 4918 5354 1917 6454 5298 6312 1887 112 9520 8881 5231 6445 8195 9231 6436 7175 1869 6944 3595 6973 7510 190 6199 9189 6019 1634 3088 2678 650 43 9405 2448 7208 99 3064 1107 7446 2156 7214 8488 7855 6437 9768 5266 7500 117 8419 6540 4876 6482 7293 3862 878 9129 6175 5418 3422 7189 3231 849 4829
100 2563 710 8129 7673 8603 7151 9151 3395 8530 4020 5716 6858 3272 4411 8759 8868 4572 498 7400 461 9793 1894 516 5826 935 9362 785 3434 1870 924 9563 7867 4207 1686 2808 4194 2648 692 9960 9179 4463 5559 1692 7675 1675 6892 7722 3794 9273 5105 4997 5469 6618 6200 1631 6495 944 1721 6835 2089 4805 734 4428 2001 7845 1103 4756 6348 609 7775 3564 2160 1764 2986 4473 1990 3523 2234 5689 4790 8460 8968 426 3226 9161 2728 7543 2781 8054 941 9154 6717 9597 2829 9439 2540 5690 293 1159 2204
100 6729 9794 8708 4084 1601 7064 9160 6508 1335 37 4501 5740 8733 6269 8335 2180 4152 5415 8012 8817 7484 6473 6476 8229 115 9677 973 7522 3446 1415 8496 6357 6386 3561 291 6762 8883 2427 2536 4220 2469 7172 9338 7223 1868 3394 327 8973 6358 4930 7777 7979 656 8401 8167 460 8911 9542 6433 1578 8535 9096 1228 429 8437 5061 2713 2330 925 3094 1362 1852 5421 3039 7831 2452 4704 2480 5840 2392 4137 6957 179 937 3346 7787 7644 3482 1279 5290 3424 4361 5402 5527 7681 8316 2209 7901 9069 3614
100 1293 1031 644 9819 8559 4516 3894 3525 2004 8281 1585 403 6890 6365 2998 4206 7689 9145 2295 2666 681 7068 4796 1584 9737 1905 5863 1761 7779 6509 3663 3116 5794 7403 6489 4832 5851 2277 3181 927 1551 2827 8937 3970 6891 8100 4355 8734 511 3212 69 3209 8829 1586 4551 1443 3420 4098 3672 109 8477 4717 1216 9634 2959 1329 4425 9393 7430 3516 637 3728 1223 3057 3867 4236 5671 4937 7895 3413 1235 1432 5039 8473 2520 2077 8232 6733 2006 9690 4226 9490 2453 2420 748 9809 1084 101 6558 7192
100 2719 7393 1069 8172 3673 7243 8551 6601 8319 2968 4219 4331 6398 3377 3962 3729 8692 5941 6471 6921 7667 5595 9538 9998 2143 5879 2994 1270 8763 1827 7206 251 632 1475 4629 3325 4799 9509 929 2457 7351 7620 8103 3432 8308 1910 2035 3252 669 3160 7602 9429 2726 9971 5019 3276 4677 8908 1268 7303 2014 5142 7003 7879 6775 8461 2150 4345 3447 7119 5179 9037 3740 3734 3405 6592 7095 6416 8322 1865 6449 419 2378 5519 8701 5865 9682 4003 1044 1093 7164 7593 918 5258 5918 5227 8969 4744 5807 7807
100 7462 9137 9135 1819 3596 3686 8819 1722 5664 250 9342 11 9600 1866 7970 2051 6216 1078 6682 6102 93 813 5812 1481 5386 4499 9505 8606 3490 8212 2436 6332 580 8299 6297 7721 5489 7624 2784 228 8332 7071 5177 2573 808 1181 2617 5539 9992 8830 3583 1639 3435 5423 6374 6629 1618 7612 3931 3099 2056 5202 709 9857 8920 3853 7452 3921 9698 1148 3129 216 7825 6956 5804 7654 9576 2687 9370 5359 3876 712 6364 8577 8782 744 2458 4899 1663 7794 742 9858 2339 6008 3497 5934 4624 5629 9838 126
100 9277 8211 8549 931 2434 3598 9172 1988 1752 2300 1422 8099 3207 7089 4190 3079 4183 3548 952 2774 9940 2221 332 1784 7023 5292 9174 4714 3754 8827 3744 302 8243 1939 5962 819 9312 4128 3169 4171 5256 6121 9779 8769 6614 9795 5898 1015 3522 1926 3824 6376 2495 1469 1716 5204 8231 3638 8320 3632 3000 4797 1903 1314 984 939 2957 9199 1753 4607 9432 5435 993 3406 8315 5771 3083 1400 3045 4314 5592 1361 2317 2605 4130 8659 3984 5640 2382 1550 5482 6394 7073 5665 5048 6204 4442 797 5212 9388
